text,Mode,KeySize,EncryptionOrDecryption,TimeTaken
plaintext100words.txt,AES/GCM/PKCS5PADDING,256,encryption,0.128083ms,
100wordsciphertext.enc,AES/GCM/PKCS5PADDING,256,decryption,0.111625ms,
3000words.txt,AES/CBC/PKCS5PADDING,128,encryption,0.971834ms,
3000wordsciphertext.enc,AES/CBC/PKCS5PADDING,128,decryption,1.43275ms,
3000words.txt,AES/ECB/PKCS5PADDING,128,encryption,0.956542ms,
3000wordsciphertext.enc,AES/ECB/PKCS5PADDING,128,decryption,1.429167ms,
3000words.txt,AES/CTR/PKCS5PADDING,128,encryption,0.939708ms,
3000wordsciphertext.enc,AES/CTR/PKCS5PADDING,128,decryption,1.373583ms,
3000words.txt,AES/OFB/PKCS5PADDING,128,encryption,0.930834ms,
3000wordsciphertext.enc,AES/OFB/PKCS5PADDING,128,decryption,1.443458ms,
3000words.txt,AES/CFB/PKCS5PADDING,128,encryption,0.964125ms,
3000wordsciphertext.enc,AES/CFB/PKCS5PADDING,128,decryption,1.427417ms,
3000words.txt,AES/GCM/PKCS5PADDING,128,encryption,1.034084ms,
3000wordsciphertext.enc,AES/GCM/PKCS5PADDING,128,decryption,1.467083ms,
3000words.txt,AES/CBC/PKCS5PADDING,192,encryption,0.941916ms,
3000wordsciphertext.enc,AES/CBC/PKCS5PADDING,192,decryption,1.524875ms,
3000words.txt,AES/ECB/PKCS5PADDING,192,encryption,0.945917ms,
3000wordsciphertext.enc,AES/ECB/PKCS5PADDING,192,decryption,1.522084ms,
3000words.txt,AES/CTR/PKCS5PADDING,192,encryption,0.942ms,
3000wordsciphertext.enc,AES/CTR/PKCS5PADDING,192,decryption,1.5565ms,
3000words.txt,AES/OFB/PKCS5PADDING,192,encryption,1.049709ms,
3000wordsciphertext.enc,AES/OFB/PKCS5PADDING,192,decryption,1.830209ms,
3000words.txt,AES/CFB/PKCS5PADDING,192,encryption,1.19725ms,
3000wordsciphertext.enc,AES/CFB/PKCS5PADDING,192,decryption,1.613292ms,
3000words.txt,AES/GCM/PKCS5PADDING,192,encryption,0.992667ms,
3000wordsciphertext.enc,AES/GCM/PKCS5PADDING,192,decryption,1.524042ms,
3000words.txt,AES/CBC/PKCS5PADDING,256,encryption,0.953125ms,
3000wordsciphertext.enc,AES/CBC/PKCS5PADDING,256,decryption,1.596584ms,
3000words.txt,AES/ECB/PKCS5PADDING,256,encryption,0.959125ms,
3000wordsciphertext.enc,AES/ECB/PKCS5PADDING,256,decryption,1.615333ms,
3000words.txt,AES/CTR/PKCS5PADDING,256,encryption,0.945ms,
3000wordsciphertext.enc,AES/CTR/PKCS5PADDING,256,decryption,1.878042ms,
3000words.txt,AES/OFB/PKCS5PADDING,256,encryption,0.945834ms,
3000wordsciphertext.enc,AES/OFB/PKCS5PADDING,256,decryption,1.788125ms,
3000words.txt,AES/CFB/PKCS5PADDING,256,encryption,0.947834ms,
3000wordsciphertext.enc,AES/CFB/PKCS5PADDING,256,decryption,1.600333ms,
3000words.txt,AES/GCM/PKCS5PADDING,256,encryption,0.955875ms,
3000wordsciphertext.enc,AES/GCM/PKCS5PADDING,256,decryption,1.657375ms,
